filepath,repopath,data,Original Result,Filename
"hyperion
/2408.06037v1.pdf",hyperion,Fine me the code where it merges front end and back end data,"[101,115]",exp_utils/exp_evaluation.py
"hyperion
/2408.06037v1.pdf",hyperion,find me the code where it trains and fine tunes a large language model,"[1,258]",HyperText/llama_recipes/finetuning.py
"hyperion
/2408.06037v1.pdf",hyperion,fine me the code where it defines seven inconsistencies between front end and back end,"[45,55]",exp_utils/exp_evaluation.py
"hyperion
/2408.06037v1.pdf",hyperion,find me the code where it preprocesses dataset to concatenate them,"[1,65]",HyperText/llama-recipes-09-11/ft_datasets/utils.py
"hyperion
/2408.06037v1.pdf",hyperion,find me the code where loads some saftey models to check safety,"[42,47]",HyperText/llama-recipes-09-11/inference/safety_utils.py
omega/omega_paper.pdf,omega,Find me how does it get the commit context using the url,"[255,269]",CMG/omega.py
omega/omega_paper.pdf,omega,Fine me the code where it counts collected issues and prs,"[34,35]",CMG/cache_issues_prs.py
omega/omega_paper.pdf,omega,find me the code where it defines quantization for models,"[15,15]",quantization/quantize.py
omega/omega_paper.pdf,omega,find me the code where it extracts the commit using github url,"[46,62]",CMG/utils.py
omega/omega_paper.pdf,omega,Find me the code where it constructs the after summary of a commit,"[222,239]",CMG/multi_intent_method_summarization.py
omega/omega_paper.pdf,omega,fine me the code where it defines zero shot prompt,"[24,31]",CMG/class_summarization/class_summarizer.py
omega/omega_paper.pdf,omega,fine me the code where it gets the pull request content based on using github url,"[51,71]",CMG/crawl_pr_issue.py
omega/omega_paper.pdf,omega,"fine me the code where it is implemented-""Specifically, for a
modified method, we first generated the pre-commit multiintent summaries"" ","[1,141]",CMG/CMMS/summarize.py
omega/omega_paper.pdf,omega,where did the java projects download,"[1,21]",CMG/download_projects.py
omega/sound_paper.pdf,sound,where does it calculate file level result,"[101,116]",src/models/base_model.py
omega/sound_paper.pdf,sound,find me the code where it ranks analysis from file and line level,"[228,249]",src/models/base_model.py
omega/sound_paper.pdf,sound,find me the code where it runs analysis to answer RQ1,"[35,45]",src/main.py
omega/sound_paper.pdf,sound,where does it select the top 100 releases,"[33,108]",src/select_top.py
omega/sound_paper.pdf,sound,fine me the code where it calculates recall for buggy lines',"[251,319]",src/models/base_model.py
omega/sound_paper.pdf,sound,find me the code where it reads the dataset line by line and file by file,"[23,74]",src/utils/helper.py
ICSE_2025_Toma.pdf,hf-question-answer-main,where does it calculate cohen's kapps between two authors,"[1,25]",data_analyzer/irr_calculator.py
ICSE_2025_Toma.pdf,hf-question-answer-main,where does it rank model based on likes,"[8,21]",data_analyzer/model_properties_analyzer.py
ICSE_2025_Toma.pdf,hf-question-answer-main,where does it calculate percentile for discussion length?,"[17,25]",data_analyzer/discussion_length_visualizer.py
ICSE_2025_Toma.pdf,hf-question-answer-main,where does it implement finding random discussion length removing urls and hyperlinks,"[10,35]",data_cleaner/discussion_length_calculator.py
