python\paper,DESEC-main,DetectCodeGPT-main,agentless,bugspot,calibration,codebridge,context-craft,cosil,cr4llama,fastcoder,fgit,hf-question-answer-main,hyperion,longcodezip,omega,proalert,riolu,sound,test-smell,trustworthiness
DESEC-main,4,4,4,3,3,4,3,4,3,3,4,3,3,3,4,3,3,2,3,3
DetectCodeGPT-main,3,4,4,2,3,4,4,4,4,4,3,4,3,3,4,3,2,3,3,3
agentless,2,4,4,4,3,4,3,4,4,4,4,3,4,3,4,3,3,3,4,3
bugspot,2,4,4,4,3,4,3,4,3,3,4,4,3,1,2,3,3,1,4,3
calibration,3,4,2,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,2,3
codebridge,3,4,3,3,3,4,4,3,4,2,3,4,3,3,4,3,2,2,2,3
context-craft,3,4,3,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3
cosil,2,4,4,2,3,4,3,4,4,3,2,4,4,4,4,2,2,2,3,2
cr4llama,3,4,3,2,3,4,3,3,4,4,4,3,3,3,3,2,2,2,2,3
fastcoder,4,4,4,2,3,4,4,4,4,4,4,2,3,3,3,4,2,3,2,2
fgit,2,4,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,2,2,3
hf-question-answer-main,2,4,2,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,1,1
hyperion,3,4,3,3,3,4,3,4,3,3,4,2,4,3,4,3,3,3,3,3
longcodezip,3,4,4,3,3,4,4,4,4,4,4,2,4,4,4,4,2,3,3,2
omega,2,3,4,3,3,4,4,4,4,4,3,4,3,3,4,3,2,3,3,3
proalert,2,3,2,3,3,2,2,4,3,3,2,3,3,3,2,4,2,3,2,2
riolu,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3
sound,2,3,1,3,3,1,1,4,3,2,1,1,3,3,1,3,1,4,1,1
test-smell,2,4,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,4,2
trustworthiness,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,4
